label,huruf,len_t,len_xx,len_xx_sc,skeleton_points,segment_count,curve_points,closed,cv_label,x_left,csv_file,distance_csv_file,rmse_skeleton_to_curve,mae_skeleton_to_curve,sse_skeleton_to_curve,hausdorff_symmetric,xx_sc_40_x,xx_sc_40_y,xx_sc_61_x,xx_sc_61_y,xx_sc_81_x,xx_sc_81_y,xx_sc_91_x,xx_sc_91_y,xx_sc_180_x,xx_sc_180_y,xx_sc_122_x,xx_sc_122_y
per_huruf,1,1444,1444,1444,112,111,1444,0,11,8.0,line3_huruf_001_bezier_output.csv,line3_huruf_001_curve_fitting_distance.csv,0.0,0.0,0.0,0.6944522700213376,52.923076923076934,58.03277196176605,51.30769230769231,57.926263086026395,49.76923076923076,59.04779244424214,49.0,59.0,44.15384615384615,63.84615384615385,46.97269003186164,60.35730541647701
per_huruf,2,105,105,105,9,8,105,0,9,15.0,line3_huruf_002_bezier_output.csv,line3_huruf_002_curve_fitting_distance.csv,0.0,0.0,0.0,0.6459904389324749,18.07692307692308,46.967228038233955,19.692307692307693,47.0,21.230769230769226,46.81702321347291,22.0,46.0,,,,
per_huruf,3,2484,2484,2484,192,191,2484,0,4,44.0,line3_huruf_003_bezier_output.csv,line3_huruf_003_curve_fitting_distance.csv,0.0,0.0,0.0,2.8285783042721295,47.07692307692308,95.04688211197089,48.69230769230769,96.03277196176604,50.230769230769226,95.99999999999999,51.0,96.0,57.84615384615385,93.98998634501594,53.384615384615394,95.642694583523
per_huruf,4,5448,5448,5448,420,419,5448,0,2,100.0,line3_huruf_004_bezier_output.csv,line3_huruf_004_curve_fitting_distance.csv,0.0,0.0,0.0,5.381767245918542,104.96722803823397,73.04415111515704,105.07373691397359,74.6923076923077,103.74874829312698,76.23076923076921,103.0,77.0,101.0,83.84615384615384,103.04551661356396,79.3846153846154
per_huruf,7,2484,2484,2484,192,191,2484,0,3,231.0,line3_huruf_007_bezier_output.csv,line3_huruf_007_curve_fitting_distance.csv,0.0,0.0,0.0,4.810929323706686,234.07692307692312,69.99726900318618,235.69230769230768,70.73327264451524,237.2307692307692,70.99999999999999,238.0,71.0,244.84615384615384,71.0,240.3846153846154,71.0
per_huruf,8,1496,1496,1496,116,115,1496,0,13,287.0,line3_huruf_008_bezier_output.csv,line3_huruf_008_curve_fitting_distance.csv,0.0,0.0,0.0,3.9734356041319594,286.9972690031862,94.07692307692308,287.73327264451524,95.6923076923077,288.18297678652704,97.23076923076921,289.0,98.0,291.89121529358215,104.84615384615384,289.357305416477,100.38461538461539
per_huruf,10,1795,1795,1795,139,138,1795,0,7,356.0,line3_huruf_010_bezier_output.csv,line3_huruf_010_curve_fitting_distance.csv,0.0,0.0,0.0,4.038001260906761,357.0027309968139,69.07692307692308,356.26672735548476,70.6923076923077,355.99999999999994,72.23076923076923,356.0,73.0,357.83614019116976,79.84615384615384,356.0,75.3846153846154
per_huruf,12,1354,1354,1354,104,104,1354,1,14,395.0,line3_huruf_012_bezier_output.csv,line3_huruf_012_curve_fitting_distance.csv,0.0,0.0,0.0,4.510028349037703,398.0769230769231,98.03004096495222,399.69230769230774,98.65953573054165,401.23076923076917,100.04779244424215,402.0,100.0,408.84615384615387,102.89121529358215,404.3846153846154,101.35730541647702
per_huruf,13,131,131,131,11,10,131,0,17,403.0,line3_huruf_013_bezier_output.csv,line3_huruf_013_curve_fitting_distance.csv,0.0,0.0,0.0,0.6459904389325054,406.0769230769231,87.96722803823396,407.6923076923077,88.0,409.23076923076917,87.99999999999999,410.0,88.0,,,412.4301319981794,86.92717341829768
per_huruf,15,314,314,314,24,24,314,1,15,456.0,line3_huruf_015_bezier_output.csv,line3_huruf_015_curve_fitting_distance.csv,0.0,0.0,0.0,2.156926326466226,459.07692307692315,76.95584888484298,460.6923076923077,75.3076923076923,462.25125170687295,73.76923076923077,463.0,73.0,463.0550751024124,68.17387346381429,464.0728265817024,70.61538461538463
per_huruf,16,2147,2147,2147,165,165,2147,1,16,479.0,line3_huruf_016_bezier_output.csv,line3_huruf_016_curve_fitting_distance.csv,0.0,0.0,0.0,2.049552510043383,480.04415111515715,77.92307692307695,481.6923076923077,76.3076923076923,483.23076923076917,74.93172507965407,484.0,75.0,490.01001365498405,76.84615384615384,486.38461538461536,75.00000000000001
per_huruf,17,1548,1548,1548,120,119,1548,0,8,543.0,line3_huruf_017_bezier_output.csv,line3_huruf_017_curve_fitting_distance.csv,0.0,0.0,0.0,4.514805771060532,544.0,44.07692307692308,543.9262630860264,45.69230769230769,545.0682749203459,47.230769230769226,545.0,48.0,546.0,54.846153846153854,545.0000000000001,50.38461538461539
per_huruf,18,236,236,236,19,18,236,1,18,558.0,line3_huruf_018_bezier_output.csv,line3_huruf_018_curve_fitting_distance.csv,0.014757198576590141,0.0033855335413220367,0.004137723286749368,0.6944522700214013,561.0769230769232,90.04688211197089,562.6923076923076,90.95903504779244,564.251251706873,92.23076923076921,565.0,93.0,560.1538461538462,95.16385980883022,564.688211197087,95.43013199817935
per_huruf,19,560,560,560,44,43,560,0,5,595.0,line3_huruf_019_bezier_output.csv,line3_huruf_019_curve_fitting_distance.csv,0.0,0.0,0.0,0.6944659930832767,598.0769230769232,28.95584888484297,599.6923076923076,27.307692307692307,601.2307692307692,25.769230769230766,602.0,25.0,608.8461538461538,20.163859808830225,604.3846153846155,22.97269003186163
