huruf,cv_label,x_left,skeleton_points,curve_points,segment_count,closed,distance_csv_file,sse_skeleton_to_curve,rmse_skeleton_to_curve,mae_skeleton_to_curve,max_skeleton_to_curve,sse_curve_to_skeleton,rmse_curve_to_skeleton,mae_curve_to_skeleton,max_curve_to_skeleton,hausdorff_symmetric
1,11,8.0,112,1444,111,0,line3_huruf_001_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,158.57355781013894,0.3313841928155576,0.27883425496114805,0.6944522700213376,0.6944522700213376
2,9,15.0,9,105,8,0,line3_huruf_002_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,10.336785234302813,0.3137603761790625,0.2641379686033207,0.6459904389324749,0.6459904389324749
3,4,44.0,192,2484,191,0,line3_huruf_003_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,372.33675560810434,0.38716149601532096,0.32046088630310243,2.8285783042721295,2.8285783042721295
4,2,100.0,420,5448,419,0,line3_huruf_004_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,1268.9883703705739,0.4826255077782169,0.3298993540266334,5.381767245918542,5.381767245918542
7,3,231.0,192,2484,191,0,line3_huruf_007_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,404.2400637771246,0.4034074191236391,0.3117164854468354,4.810929323706686,4.810929323706686
8,13,287.0,116,1496,115,0,line3_huruf_008_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,264.090012469936,0.4201556342578549,0.32135798295150775,3.9734356041319594,3.9734356041319594
10,7,356.0,139,1795,138,0,line3_huruf_010_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,395.6133700339099,0.4694650366445884,0.3284788263757357,4.038001260906761,4.038001260906761
12,14,395.0,104,1354,104,1,line3_huruf_012_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,355.5956401009445,0.512470512968737,0.3432415730928425,4.510028349037703,4.510028349037703
13,17,403.0,11,131,10,0,line3_huruf_013_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,12.490631388149183,0.3087852509548435,0.26103836003731,0.6459904389325054,0.6459904389325054
15,15,456.0,24,314,24,1,line3_huruf_015_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,58.90114276326291,0.43310882836516235,0.32864613569870943,2.156926326466226,2.156926326466226
16,16,479.0,165,2147,165,1,line3_huruf_016_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,322.18600943190614,0.3873801086714107,0.3162225427381698,2.049552510043383,2.049552510043383
17,8,543.0,120,1548,119,0,line3_huruf_017_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,479.49485716132943,0.5565529621847511,0.3450423093970335,4.514805771060532,4.514805771060532
18,18,558.0,19,236,18,1,line3_huruf_018_curve_fitting_distance.csv,0.004137723286749368,0.014757198576590141,0.0033855335413220367,0.0643251372851187,26.638045963700684,0.3359658853475688,0.28418445828651456,0.6944522700214013,0.6944522700214013
19,5,595.0,44,560,43,0,line3_huruf_019_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,77.2308500294942,0.3713653621375119,0.3158686470977618,0.6944659930832767,0.6944659930832767
