huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
10,0,358.0,66.0,0,358.0,66.0,0.0,0.0
10,1,358.0,67.0,13,358.0,67.0,0.0,0.0
10,2,357.0,68.0,26,357.0,68.0,0.0,0.0
10,3,357.0,69.0,39,357.0,69.0,0.0,0.0
10,4,357.0,70.0,52,357.0,70.0,0.0,0.0
10,5,356.0,71.0,65,356.0,71.0,0.0,0.0
10,6,356.0,72.0,78,356.0,72.0,0.0,0.0
10,7,356.0,73.0,91,356.0,73.0,0.0,0.0
10,8,356.0,74.0,104,356.0,74.0,0.0,0.0
10,9,356.0,75.0,117,356.0,75.0,0.0,0.0
10,10,356.0,76.0,130,356.0,76.0,0.0,0.0
10,11,356.0,77.0,143,356.0,77.0,0.0,0.0
10,12,357.0,78.0,156,357.0,78.0,0.0,0.0
10,13,357.0,79.0,169,357.0,79.0,0.0,0.0
10,14,358.0,80.0,182,358.0,80.0,0.0,0.0
10,15,359.0,81.0,1781,359.0,81.0,0.0,0.0
10,16,360.0,82.0,208,360.0,82.0,0.0,0.0
10,17,361.0,83.0,221,361.0,83.0,0.0,0.0
10,18,362.0,84.0,234,362.0,84.0,0.0,0.0
10,19,363.0,85.0,247,363.0,85.0,0.0,0.0
10,20,364.0,85.0,260,364.0,85.0,0.0,0.0
10,21,365.0,86.0,273,365.0,86.0,0.0,0.0
10,22,366.0,86.0,286,366.0,86.0,0.0,0.0
10,23,367.0,87.0,299,367.0,87.0,0.0,0.0
10,24,368.0,87.0,312,368.0,87.0,0.0,0.0
10,25,369.0,87.0,325,369.0,87.0,0.0,0.0
10,26,370.0,87.0,338,370.0,87.0,0.0,0.0
10,27,371.0,87.0,351,371.0,87.0,0.0,0.0
10,28,372.0,87.0,364,372.0,87.0,0.0,0.0
10,29,373.0,87.0,377,373.0,87.0,0.0,0.0
10,30,374.0,87.0,390,374.0,87.0,0.0,0.0
10,31,375.0,87.0,403,375.0,87.0,0.0,0.0
10,32,376.0,86.0,416,376.0,86.0,0.0,0.0
10,33,377.0,86.0,429,377.0,86.0,0.0,0.0
10,34,378.0,86.0,442,378.0,86.0,0.0,0.0
10,35,379.0,86.0,455,379.0,86.0,0.0,0.0
10,36,380.0,86.0,468,380.0,86.0,0.0,0.0
10,37,381.0,86.0,481,381.0,86.0,0.0,0.0
10,38,382.0,85.0,494,382.0,85.0,0.0,0.0
10,39,383.0,85.0,507,383.0,85.0,0.0,0.0
10,40,384.0,85.0,520,384.0,85.0,0.0,0.0
10,41,385.0,85.0,533,385.0,85.0,0.0,0.0
10,42,386.0,84.0,546,386.0,84.0,0.0,0.0
10,43,387.0,84.0,559,387.0,84.0,0.0,0.0
10,44,388.0,83.0,572,388.0,83.0,0.0,0.0
10,45,389.0,83.0,585,389.0,83.0,0.0,0.0
10,46,390.0,83.0,598,390.0,83.0,0.0,0.0
10,47,391.0,82.0,611,391.0,82.0,0.0,0.0
10,48,392.0,82.0,624,392.0,82.0,0.0,0.0
10,49,393.0,82.0,637,393.0,82.0,0.0,0.0
10,50,394.0,81.0,650,394.0,81.0,0.0,0.0
10,51,395.0,81.0,663,395.0,81.0,0.0,0.0
10,52,396.0,81.0,676,396.0,81.0,0.0,0.0
10,53,397.0,80.0,689,397.0,80.0,0.0,0.0
10,54,398.0,80.0,702,398.0,80.0,0.0,0.0
10,55,399.0,80.0,715,399.0,80.0,0.0,0.0
10,56,400.0,79.0,728,400.0,79.0,0.0,0.0
10,57,401.0,79.0,1729,401.0,79.0,0.0,0.0
10,58,402.0,79.0,754,402.0,79.0,0.0,0.0
10,59,403.0,78.0,767,403.0,78.0,0.0,0.0
10,60,404.0,77.0,780,404.0,77.0,0.0,0.0
10,61,405.0,76.0,793,405.0,76.0,0.0,0.0
10,62,406.0,76.0,806,406.0,76.0,0.0,0.0
10,63,407.0,75.0,819,407.0,75.0,0.0,0.0
10,64,408.0,75.0,832,408.0,75.0,0.0,0.0
10,65,409.0,74.0,845,409.0,74.0,0.0,0.0
10,66,410.0,74.0,858,410.0,74.0,0.0,0.0
10,67,411.0,73.0,871,411.0,73.0,0.0,0.0
10,68,412.0,72.0,884,412.0,72.0,0.0,0.0
10,69,413.0,72.0,897,413.0,72.0,0.0,0.0
10,70,414.0,71.0,910,414.0,71.0,0.0,0.0
10,71,415.0,70.0,923,415.0,70.0,0.0,0.0
10,72,416.0,69.0,1560,416.0,69.0,0.0,0.0
10,73,416.0,68.0,949,416.0,68.0,0.0,0.0
10,74,417.0,67.0,962,417.0,67.0,0.0,0.0
10,75,416.0,66.0,975,416.0,66.0,0.0,0.0
10,76,416.0,65.0,988,416.0,65.0,0.0,0.0
10,77,415.0,65.0,1001,415.0,65.0,0.0,0.0
10,78,414.0,64.0,1014,414.0,64.0,0.0,0.0
10,79,413.0,64.0,1027,413.0,64.0,0.0,0.0
10,80,412.0,64.0,1040,412.0,64.0,0.0,0.0
10,81,411.0,63.0,1053,411.0,63.0,0.0,0.0
10,82,410.0,63.0,1066,410.0,63.0,0.0,0.0
10,83,409.0,62.0,1079,409.0,62.0,0.0,0.0
10,84,408.0,62.0,1092,408.0,62.0,0.0,0.0
10,85,407.0,62.0,1105,407.0,62.0,0.0,0.0
10,86,406.0,62.0,1118,406.0,62.0,0.0,0.0
10,87,405.0,62.0,1131,405.0,62.0,0.0,0.0
10,88,404.0,61.0,1495,404.0,61.0,0.0,0.0
10,89,404.0,60.0,1157,404.0,60.0,0.0,0.0
10,90,405.0,59.0,1170,405.0,59.0,0.0,0.0
10,91,405.0,58.0,1183,405.0,58.0,0.0,0.0
10,92,405.0,57.0,1196,405.0,57.0,0.0,0.0
10,93,405.0,56.0,1209,405.0,56.0,0.0,0.0
10,94,405.0,55.0,1222,405.0,55.0,0.0,0.0
10,95,405.0,54.0,1235,405.0,54.0,0.0,0.0
10,96,406.0,53.0,1248,406.0,53.0,0.0,0.0
10,97,406.0,52.0,1261,406.0,52.0,0.0,0.0
10,98,406.0,51.0,1274,406.0,51.0,0.0,0.0
10,99,406.0,50.0,1287,406.0,50.0,0.0,0.0
10,100,406.0,49.0,1300,406.0,49.0,0.0,0.0
10,101,406.0,48.0,1313,406.0,48.0,0.0,0.0
10,102,406.0,47.0,1326,406.0,47.0,0.0,0.0
10,103,406.0,46.0,1339,406.0,46.0,0.0,0.0
10,104,406.0,45.0,1352,406.0,45.0,0.0,0.0
10,105,406.0,44.0,1365,406.0,44.0,0.0,0.0
10,106,406.0,43.0,1378,406.0,43.0,0.0,0.0
10,107,406.0,42.0,1391,406.0,42.0,0.0,0.0
10,108,406.0,41.0,1404,406.0,41.0,0.0,0.0
10,109,406.0,40.0,1417,406.0,40.0,0.0,0.0
10,110,406.0,39.0,1430,406.0,39.0,0.0,0.0
10,111,406.0,38.0,1443,406.0,38.0,0.0,0.0
10,112,406.0,37.0,1456,406.0,37.0,0.0,0.0
10,113,406.0,36.0,1469,406.0,36.0,0.0,0.0
10,114,406.0,35.0,1482,406.0,35.0,0.0,0.0
10,115,404.0,61.0,1495,404.0,61.0,0.0,0.0
10,116,404.0,62.0,1508,404.0,62.0,0.0,0.0
10,117,403.0,62.0,1521,403.0,62.0,0.0,0.0
10,118,402.0,62.0,1534,402.0,62.0,0.0,0.0
10,119,401.0,62.0,1547,401.0,62.0,0.0,0.0
10,120,416.0,69.0,1560,416.0,69.0,0.0,0.0
10,121,416.0,70.0,1573,416.0,70.0,0.0,0.0
10,122,415.0,71.0,1586,415.0,71.0,0.0,0.0
10,123,414.0,72.0,1599,414.0,72.0,0.0,0.0
10,124,413.0,72.0,897,413.0,72.0,0.0,0.0
10,125,412.0,73.0,1625,412.0,73.0,0.0,0.0
10,126,411.0,74.0,1638,411.0,74.0,0.0,0.0
10,127,410.0,74.0,858,410.0,74.0,0.0,0.0
