huruf,cv_label,x_left,skeleton_points,curve_points,segment_count,closed,distance_csv_file,sse_skeleton_to_curve,rmse_skeleton_to_curve,mae_skeleton_to_curve,max_skeleton_to_curve,sse_curve_to_skeleton,rmse_curve_to_skeleton,mae_curve_to_skeleton,max_curve_to_skeleton,hausdorff_symmetric
1,1,8.0,75,978,75,1,line3_huruf_001_curve_fitting_distance.csv,0.4552533568243618,0.07791049196134085,0.010272894672551231,0.6666972071935715,147.99077009262223,0.38899846506210933,0.31410794019348925,2.2317575888307073,2.2317575888307073
2,2,15.0,9,105,8,0,line3_huruf_002_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,10.336785234302813,0.3137603761790625,0.2641379686033207,0.6459904389324749,0.6459904389324749
3,3,34.0,36,456,35,0,line3_huruf_003_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,47.46754180660555,0.3226383213723916,0.26996471908848774,0.6944522700213376,0.6944522700213376
4,4,44.0,178,2410,185,1,line3_huruf_004_curve_fitting_distance.csv,0.5137267706262965,0.053722485543361835,0.004567222588381058,0.7091957274840585,366.87684928075663,0.39016798663248253,0.3224469147938587,2.8285783042721295,2.8285783042721295
5,5,100.0,396,5390,414,1,line3_huruf_005_curve_fitting_distance.csv,1.0149113006128716,0.05062516493582987,0.004173216627709859,0.7477880931526154,1145.79341382682,0.46106141434431885,0.32159265350234884,5.381767245918542,5.381767245918542
6,6,114.0,2,14,1,0,line3_huruf_006_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,1.8024363508065075,0.3588111670907641,0.28580374223653,0.639196207299271,0.639196207299271
7,7,190.0,2,14,1,0,line3_huruf_007_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,0.9012181754032899,0.2537178094153438,0.202093764223947,0.4519799726900544,0.4519799726900544
8,8,231.0,178,2484,191,0,line3_huruf_008_curve_fitting_distance.csv,4.144784059199327,0.1525952283112647,0.011437495920885133,2.0358742739175537,404.2400637771246,0.4034074191236391,0.3117164854468354,4.810929323706686,4.810929323706686
9,9,287.0,109,1496,115,0,line3_huruf_009_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,264.090012469936,0.4201556342578549,0.32135798295150775,3.9734356041319594,3.9734356041319594
10,10,333.0,2,14,1,0,line3_huruf_010_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,1.802436350806578,0.3588111670907711,0.2858037422365346,0.639196207299301,0.639196207299301
11,11,356.0,130,1795,138,0,line3_huruf_011_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,395.6133700339099,0.4694650366445884,0.3284788263757357,4.038001260906761,4.038001260906761
12,12,395.0,100,1316,101,1,line3_huruf_012_curve_fitting_distance.csv,0.546770961933699,0.07394396269701124,0.009865187134341282,0.6666972071935895,360.04898018546027,0.5230616120391092,0.34926609354147975,4.510028349037703,4.510028349037703
13,13,403.0,11,131,10,0,line3_huruf_013_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,12.490631388149183,0.3087852509548435,0.26103836003731,0.6459904389325054,0.6459904389325054
14,14,456.0,21,300,23,0,line3_huruf_014_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,57.812918638380424,0.4389871624485179,0.3342154951438176,2.156926326466226,2.156926326466226
15,15,479.0,78,1018,78,1,line3_huruf_015_curve_fitting_distance.csv,0.010768190744651934,0.011749626696007735,0.0013303832467661803,0.10376989324776206,136.97633405423875,0.36681651496694345,0.3003699342260761,2.049552510043383,2.049552510043383
16,16,507.0,77,966,74,1,line3_huruf_016_curve_fitting_distance.csv,0.010768190744651934,0.011825676853670057,0.0013476609512696372,0.10376989324776206,91.89770612427276,0.30843508386174895,0.2581180210053228,0.7063231076410111,0.7063231076410111
17,17,543.0,46,612,47,0,line3_huruf_017_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,66.41927534319436,0.3294362270378868,0.279847878717159,0.8967314665165275,0.8967314665165275
18,18,558.0,19,223,17,1,line3_huruf_018_curve_fitting_distance.csv,0.35021439630193113,0.13576574180355683,0.038078383331498385,0.5720967568965798,26.56843247785531,0.34516800665110126,0.2925875822643518,0.6944522700214013,0.6944522700214013
19,19,563.0,67,924,71,0,line3_huruf_019_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,299.7892580792001,0.5696027115485524,0.3503789034992192,4.514805771060532,4.514805771060532
20,20,595.0,38,560,43,0,line3_huruf_020_curve_fitting_distance.csv,0.0,0.0,0.0,0.0,77.2308500294942,0.3713653621375119,0.3158686470977618,0.6944659930832767,0.6944659930832767
