huruf,skeleton_index,skeleton_x,skeleton_y,nearest_curve_index,nearest_curve_x,nearest_curve_y,distance_px,distance_squared_px
16,0,522.0,64.0,65,522.0,64.0,0.0,0.0
16,1,523.0,64.0,78,523.0,64.0,0.0,0.0
16,2,524.0,64.0,91,524.0,64.0,0.0,0.0
16,3,525.0,64.0,104,525.0,64.0,0.0,0.0
16,4,520.0,65.0,392,520.0,65.0,0.0,0.0
16,5,521.0,65.0,52,521.0,65.0,0.0,0.0
16,6,526.0,65.0,117,526.0,65.0,0.0,0.0
16,7,519.0,66.0,379,519.0,66.0,0.0,0.0
16,8,520.0,66.0,39,520.0,66.0,0.0,0.0
16,9,527.0,66.0,130,527.0,66.0,0.0,0.0
16,10,518.0,67.0,13,518.0,67.0,0.0,0.0
16,11,519.0,67.0,26,519.0,67.0,0.0,0.0
16,12,527.0,67.0,143,527.0,67.0,0.0,0.0
16,13,517.0,68.0,378,517.0,68.0,0.0,0.0
16,14,528.0,68.0,156,528.0,68.0,0.0,0.0
16,15,517.0,69.0,370,516.9426490669094,69.08648156577152,0.10376989324776206,0.010768190744651934
16,16,528.0,69.0,169,528.0,69.0,0.0,0.0
16,17,517.0,70.0,364,517.0,70.0,0.0,0.0
16,18,528.0,70.0,182,528.0,70.0,0.0,0.0
16,19,517.0,71.0,351,517.0,71.0,0.0,0.0
16,20,528.0,71.0,195,528.0,71.0,0.0,0.0
16,21,517.0,72.0,338,517.0,72.0,0.0,0.0
16,22,527.0,72.0,208,527.0,72.0,0.0,0.0
16,23,518.0,73.0,325,518.0,73.0,0.0,0.0
16,24,519.0,73.0,312,519.0,73.0,0.0,0.0
16,25,520.0,73.0,299,520.0,73.0,0.0,0.0
16,26,521.0,73.0,286,521.0,73.0,0.0,0.0
16,27,522.0,73.0,273,522.0,73.0,0.0,0.0
16,28,523.0,73.0,260,523.0,73.0,0.0,0.0
16,29,524.0,73.0,247,524.0,73.0,0.0,0.0
16,30,525.0,73.0,234,525.0,73.0,0.0,0.0
16,31,526.0,73.0,221,526.0,73.0,0.0,0.0
16,32,528.0,73.0,393,528.0,73.0,0.0,0.0
16,33,528.0,74.0,406,528.0,74.0,0.0,0.0
16,34,529.0,75.0,419,529.0,75.0,0.0,0.0
16,35,529.0,76.0,432,529.0,76.0,0.0,0.0
16,36,529.0,77.0,445,529.0,77.0,0.0,0.0
16,37,529.0,78.0,458,529.0,78.0,0.0,0.0
16,38,528.0,79.0,484,528.0,79.0,0.0,0.0
16,39,529.0,79.0,471,529.0,79.0,0.0,0.0
16,40,528.0,80.0,497,528.0,80.0,0.0,0.0
16,41,527.0,81.0,523,527.0,81.0,0.0,0.0
16,42,528.0,81.0,510,528.0,81.0,0.0,0.0
16,43,527.0,82.0,536,527.0,82.0,0.0,0.0
16,44,526.0,83.0,549,526.0,83.0,0.0,0.0
16,45,525.0,84.0,575,525.0,84.0,0.0,0.0
16,46,526.0,84.0,562,526.0,84.0,0.0,0.0
16,47,524.0,85.0,601,524.0,85.0,0.0,0.0
16,48,525.0,85.0,588,525.0,85.0,0.0,0.0
16,49,523.0,86.0,627,523.0,86.0,0.0,0.0
16,50,524.0,86.0,614,524.0,86.0,0.0,0.0
16,51,522.0,87.0,653,522.0,87.0,0.0,0.0
16,52,523.0,87.0,640,523.0,87.0,0.0,0.0
16,53,521.0,88.0,679,521.0,88.0,0.0,0.0
16,54,522.0,88.0,666,522.0,88.0,0.0,0.0
16,55,520.0,89.0,705,520.0,89.0,0.0,0.0
16,56,521.0,89.0,692,521.0,89.0,0.0,0.0
16,57,519.0,90.0,731,519.0,90.0,0.0,0.0
16,58,520.0,90.0,718,520.0,90.0,0.0,0.0
16,59,518.0,91.0,757,518.0,91.0,0.0,0.0
16,60,519.0,91.0,744,519.0,91.0,0.0,0.0
16,61,517.0,92.0,783,517.0,92.0,0.0,0.0
16,62,518.0,92.0,770,518.0,92.0,0.0,0.0
16,63,516.0,93.0,809,516.0,93.0,0.0,0.0
16,64,517.0,93.0,796,517.0,93.0,0.0,0.0
16,65,515.0,94.0,835,515.0,94.0,0.0,0.0
16,66,516.0,94.0,822,516.0,94.0,0.0,0.0
16,67,514.0,95.0,848,514.0,95.0,0.0,0.0
16,68,513.0,96.0,861,513.0,96.0,0.0,0.0
16,69,511.0,97.0,887,511.0,97.0,0.0,0.0
16,70,512.0,97.0,874,512.0,97.0,0.0,0.0
16,71,509.0,98.0,913,509.0,98.0,0.0,0.0
16,72,510.0,98.0,900,510.0,98.0,0.0,0.0
16,73,508.0,99.0,939,508.0,99.0,0.0,0.0
16,74,509.0,99.0,926,509.0,99.0,0.0,0.0
16,75,507.0,100.0,965,507.0,100.0,0.0,0.0
16,76,508.0,100.0,952,508.0,100.0,0.0,0.0
